average_temperature,average_humidity,average_dewpoint,average_barometer,average_windspeed,average_gustspeed,average_direction,rainfall_for_month,rainfall_for_year,maximum_rain_per_minute,maximum_temperature,minimum_temperature,maximum_humidity,minimum_humidity,maximum_pressure,minimum_pressure,maximum_windspeed,maximum_gust_speed,maximum_heat_index,date
43.2,0.58,27.7,30.2,1.5,2.9,33,0.0,5.98,0.0,61.3,25.5,0.89,0.3,30.278000000000002,30.09,8.1,11.5,61.3,2020-10-01
56.9,0.25,17.8,29.9,5.7,9.2,274,0.0,5.98,0.0,70.9,34.1,0.72,0.1,30.131,29.796999999999997,16.1,26.5,73.2,2020-10-02
44.6,0.54,27.9,30.0,2.0,3.7,58,0.0,5.98,0.0,61.0,27.4,0.8,0.31,30.09,29.851999999999997,11.5,17.3,61.0,2020-10-03
52.2,0.42,23.1,30.0,4.2,6.6,232,0.0,5.98,0.0,75.4,28.5,0.86,0.12,30.095,29.825,19.6,26.5,75.6,2020-10-04
60.4,0.19,15.3,29.8,6.4,10.6,253,0.0,5.98,0.0,74.3,37.8,0.44,0.09,29.891,29.691,20.7,33.4,74.0,2020-10-05
57.2,0.23,12.5,29.9,6.2,9.2,237,0.0,5.98,0.0,77.4,31.1,0.59,0.06,29.915,29.819000000000003,19.6,26.5,76.1,2020-10-06
52.4,0.25,13.9,29.9,1.9,3.7,109,0.0,5.98,0.0,73.4,34.6,0.46,0.08,29.941999999999997,29.845,10.4,17.3,73.2,2020-10-07
55.0,0.23,10.3,29.8,4.9,7.3,233,0.0,5.98,0.0,75.3,32.2,0.52,0.05,29.896,29.69,17.3,26.5,74.2,2020-10-08
61.0,0.21,19.1,29.6,4.0,6.4,237,0.0,5.98,0.0,76.4,42.4,0.39,0.11,29.706,29.523000000000003,26.5,35.7,75.7,2020-10-09
54.0,0.31,20.8,29.7,3.7,5.9,230,0.0,5.98,0.0,74.2,32.2,0.61,0.12,29.788,29.515,15.0,21.9,74.7,2020-10-10
48.0,0.4,22.4,29.5,11.1,16.9,242,0.03,6.01,0.01,60.5,36.1,0.83,0.2,29.789,29.255,24.2,40.3,60.5,2020-10-11
49.6,0.27,15.8,29.8,15.0,22.9,243,0.03,6.01,0.0,62.8,37.8,0.37,0.15,29.930999999999997,29.735,29.9,48.3,62.8,2020-10-12
58.8,0.2,16.8,29.8,10.4,16.2,237,0.03,6.01,0.0,71.3,49.9,0.26,0.13,29.919,29.538,24.2,41.4,73.2,2020-10-13
55.4,0.34,23.3,29.5,13.3,20.2,243,0.03,6.01,0.0,66.9,32.6,0.86,0.17,29.766,29.415,32.2,49.5,66.9,2020-10-14
35.6,0.59,18.8,30.0,6.4,9.7,343,0.03,6.01,0.0,49.4,24.2,0.89,0.18,30.243000000000002,29.75,16.1,26.5,49.4,2020-10-15
46.0,0.36,16.9,30.0,8.5,12.7,229,0.03,6.01,0.0,65.8,21.4,0.85,0.18,30.254,29.642,24.2,34.5,65.8,2020-10-16
51.7,0.34,22.8,29.6,12.8,19.5,244,0.03,6.01,0.0,59.9,40.4,0.7,0.23,29.66,29.468000000000004,27.6,49.5,59.9,2020-10-17
47.8,0.46,25.0,29.7,10.7,16.0,270,0.03,6.01,0.0,62.3,28.7,0.89,0.25,29.798000000000002,29.635,27.6,42.6,62.3,2020-10-18
56.8,0.22,16.8,29.6,12.9,19.3,232,0.03,6.01,0.0,67.0,51.0,0.35,0.09,29.656999999999996,29.539,31.1,52.9,67.0,2020-10-19
52.0,0.35,23.1,29.6,8.4,13.1,239,0.03,6.01,0.0,66.3,34.7,0.76,0.18,29.743000000000002,29.463,25.3,40.3,66.3,2020-10-20
51.7,0.36,18.6,29.6,7.0,10.1,232,0.03,6.01,0.0,66.6,26.2,0.9,0.13,29.741,29.455,21.9,28.8,66.6,2020-10-21
38.2,0.59,18.4,29.6,7.0,10.0,180,0.03,6.01,0.0,59.3,18.6,0.92,0.14,30.024,29.309,19.6,26.5,59.3,2020-10-22
22.3,0.8,16.9,30.2,3.7,5.5,21,0.03,6.01,0.0,38.2,15.3,0.91,0.45,30.393,30.004,12.7,18.4,38.0,2020-10-23
46.9,0.37,19.7,29.7,11.3,17.2,241,0.03,6.01,0.0,58.3,25.5,0.87,0.23,30.008000000000003,29.46,27.6,43.7,58.3,2020-10-24
6.0,0.84,2.1,30.1,4.0,6.4,37,0.03,6.01,0.0,25.6,0.5,0.89,0.8,30.485,29.601999999999997,10.4,13.8,25.5,2020-10-25
2.3,0.83,1.6,30.5,1.5,2.4,15,0.14,6.12,0.01,16.5,7.1,0.86,0.8,30.598000000000003,30.444000000000003,6.9,9.2,16.5,2020-10-26
12.4,0.8,7.3,30.5,1.0,1.8,311,0.44,6.42,0.01,42.2,12.4,0.92,0.54,30.662,30.368000000000002,6.9,10.4,42.2,2020-10-27
27.1,0.77,20.2,30.2,1.4,2.5,40,0.45,6.43,0.01,50.1,11.7,0.93,0.43,30.369,30.09,6.9,11.5,50.1,2020-10-28
36.5,0.6,21.4,30.2,6.4,9.5,241,0.46,6.44,0.01,51.5,16.3,0.95,0.32,30.271,30.112,19.6,29.9,51.5,2020-10-29
45.6,0.38,20.6,29.9,5.9,8.8,233,0.46,6.44,0.0,55.5,34.1,0.58,0.24,30.145,29.686999999999998,21.9,34.5,55.5,2020-10-30
44.3,0.39,18.1,29.9,9.2,13.9,243,0.46,6.44,0.0,55.4,25.1,0.85,0.17,30.214000000000002,29.654,26.5,40.3,55.4,2020-10-31
